source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
1,0,CPRD_QUALIFIER,<,4171756,SNOMED,1970-01-01,2099-12-31,
2,0,CPRD_QUALIFIER,<=,4171754,SNOMED,1970-01-01,2099-12-31,
3,0,CPRD_QUALIFIER,=,4172703,SNOMED,1970-01-01,2099-12-31,
4,0,CPRD_QUALIFIER,>,4172704,SNOMED,1970-01-01,2099-12-31,
5,0,CPRD_QUALIFIER,>=,4171755,SNOMED,1970-01-01,2099-12-31,
6,0,CPRD_QUALIFIER,~,0,None,1970-01-01,2099-12-31,
7,0,CPRD_QUALIFIER,Very High,4123513,SNOMED,1970-01-01,2099-12-31,
8,0,CPRD_QUALIFIER,High,4328749,SNOMED,1970-01-01,2099-12-31,
9,0,CPRD_QUALIFIER,Normal,45884153,LOINC,1970-01-01,2099-12-31,
10,0,CPRD_QUALIFIER,Low,4267416,SNOMED,1970-01-01,2099-12-31,
11,0,CPRD_QUALIFIER,Very Low,4125550,SNOMED,1970-01-01,2099-12-31,
12,0,CPRD_QUALIFIER,Abnormal,45878745,LOINC,1970-01-01,2099-12-31,
13,0,CPRD_QUALIFIER,Potential Abnormal,4214712,SNOMED,1970-01-01,2099-12-31,
14,0,CPRD_QUALIFIER,Outside ref range,4216167,SNOMED,1970-01-01,2099-12-31,
15,0,CPRD_QUALIFIER,Nil,4125556,SNOMED,1970-01-01,2099-12-31,
16,0,CPRD_QUALIFIER,Trace,9192,SNOMED,1970-01-01,2099-12-31,
17,0,CPRD_QUALIFIER,+,4123508,SNOMED,1970-01-01,2099-12-31,
18,0,CPRD_QUALIFIER,++,4126673,SNOMED,1970-01-01,2099-12-31,
19,0,CPRD_QUALIFIER,+++,4126674,SNOMED,1970-01-01,2099-12-31,
20,0,CPRD_QUALIFIER,Not examined,0,None,1970-01-01,2099-12-31,
21,0,CPRD_QUALIFIER,Positive,9191,SNOMED,1970-01-01,2099-12-31,
22,0,CPRD_QUALIFIER,Negative,9189,SNOMED,1970-01-01,2099-12-31,
23,0,CPRD_QUALIFIER,Absent,4132135,SNOMED,1970-01-01,2099-12-31,
24,0,CPRD_QUALIFIER,Present,4181412,SNOMED,1970-01-01,2099-12-31,
25,0,CPRD_QUALIFIER,Normal,45884153,LOINC,1970-01-01,2099-12-31,
26,0,CPRD_QUALIFIER,Abnormal,45878745,LOINC,1970-01-01,2099-12-31,
27,0,CPRD_QUALIFIER,Potential Abnormal,4214712,SNOMED,1970-01-01,2099-12-31,
28,0,CPRD_QUALIFIER,,0,None,1970-01-01,2099-12-31,
29,0,CPRD_QUALIFIER,Negative,9189,SNOMED,1970-01-01,2099-12-31,
30,0,CPRD_QUALIFIER,Positive,9191,SNOMED,1970-01-01,2099-12-31,
31,0,CPRD_QUALIFIER,Positive,9191,SNOMED,1970-01-01,2099-12-31,
32,0,CPRD_QUALIFIER,Negative,9189,SNOMED,1970-01-01,2099-12-31,
33,0,CPRD_QUALIFIER,Unknown,45877986,LOINC,1970-01-01,2099-12-31,
34,0,CPRD_QUALIFIER,Not examined,0,None,1970-01-01,2099-12-31,
35,0,CPRD_QUALIFIER,Above high reference limit,4084765,SNOMED,1970-01-01,2099-12-31,
36,0,CPRD_QUALIFIER,Below low reference limit,4083207,SNOMED,1970-01-01,2099-12-31,
37,0,CPRD_QUALIFIER,Outside reference range,4216167,SNOMED,1970-01-01,2099-12-31,
38,0,CPRD_QUALIFIER,Potentially abnormal,4214712,SNOMED,1970-01-01,2099-12-31,
39,0,CPRD_QUALIFIER,Normal,45884153,LOINC,1970-01-01,2099-12-31,
40,0,CPRD_QUALIFIER,Low,4267416,SNOMED,1970-01-01,2099-12-31,
41,0,CPRD_QUALIFIER,High,4328749,SNOMED,1970-01-01,2099-12-31,
42,0,CPRD_QUALIFIER,Significantly Low,4267416,SNOMED,1970-01-01,2099-12-31,
43,0,CPRD_QUALIFIER,Significantly High,4328749,SNOMED,1970-01-01,2099-12-31,
44,0,CPRD_QUALIFIER,Abnormal,45878745,LOINC,1970-01-01,2099-12-31,
45,0,CPRD_QUALIFIER,Very Abnormal,45878745,LOINC,1970-01-01,2099-12-31,
46,0,CPRD_QUALIFIER,Not Applicable,45882470,LOINC,1970-01-01,2099-12-31,
