source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
0,0,CPRD_UNIT,No Data Entered,0,None,1970-01-01,2099-12-31,
1,0,CPRD_UNIT,%,8554,UCUM,1970-01-01,2099-12-31,
2,0,CPRD_UNIT,(bdsk u),0,None,1970-01-01,2099-12-31,
3,0,CPRD_UNIT,(bsa),0,None,1970-01-01,2099-12-31,
4,0,CPRD_UNIT,(cfU),0,None,1970-01-01,2099-12-31,
5,0,CPRD_UNIT,(knk u),0,None,1970-01-01,2099-12-31,
6,0,CPRD_UNIT,(mclg u),0,None,1970-01-01,2099-12-31,
7,0,CPRD_UNIT,OD,0,None,1970-01-01,2099-12-31,
8,0,CPRD_UNIT,(pa),0,None,1970-01-01,2099-12-31,
9,0,CPRD_UNIT,pH,8482,UCUM,1970-01-01,2099-12-31,
10,0,CPRD_UNIT,(ppb),0,None,1970-01-01,2099-12-31,
11,0,CPRD_UNIT,(ppm),9387,UCUM,1970-01-01,2099-12-31,
12,0,CPRD_UNIT,(pu),0,None,1970-01-01,2099-12-31,
13,0,CPRD_UNIT,(td u),0,None,1970-01-01,2099-12-31,
14,0,CPRD_UNIT,/(hpf),0,None,1970-01-01,2099-12-31,
15,0,CPRD_UNIT,/day,44777556,UCUM,1970-01-01,2099-12-31,
16,0,CPRD_UNIT,/hour,44777557,UCUM,1970-01-01,2099-12-31,
17,0,CPRD_UNIT,/L,9254,UCUM,1970-01-01,2099-12-31,
18,0,CPRD_UNIT,/m3,44777558,UCUM,1970-01-01,2099-12-31,
19,0,CPRD_UNIT,/min,8541,UCUM,1970-01-01,2099-12-31,
20,0,CPRD_UNIT,/minute,8541,UCUM,1970-01-01,2099-12-31,
21,0,CPRD_UNIT,/mL,9257,UCUM,1970-01-01,2099-12-31,
22,0,CPRD_UNIT,/month,0,None,1970-01-01,2099-12-31,
23,0,CPRD_UNIT,/second,44777659,UCUM,1970-01-01,2099-12-31,
24,0,CPRD_UNIT,/week,0,None,1970-01-01,2099-12-31,
25,0,CPRD_UNIT,/year,0,None,1970-01-01,2099-12-31,
26,0,CPRD_UNIT,1,0,None,1970-01-01,2099-12-31,
27,0,CPRD_UNIT,1(tot),0,None,1970-01-01,2099-12-31,
28,0,CPRD_UNIT,1/mL,9257,UCUM,1970-01-01,2099-12-31,
29,0,CPRD_UNIT,10*-2(%),0,None,1970-01-01,2099-12-31,
30,0,CPRD_UNIT,10*-3(%),0,None,1970-01-01,2099-12-31,
31,0,CPRD_UNIT,10*12/L,8734,UCUM,1970-01-01,2099-12-31,
32,0,CPRD_UNIT,10*3(rbc),0,None,1970-01-01,2099-12-31,
33,0,CPRD_UNIT,10*3/L,9435,UCUM,1970-01-01,2099-12-31,
34,0,CPRD_UNIT,10*3/mL,9436,UCUM,1970-01-01,2099-12-31,
35,0,CPRD_UNIT,10*6/L,9442,UCUM,1970-01-01,2099-12-31,
36,0,CPRD_UNIT,10*6/mL,8816,UCUM,1970-01-01,2099-12-31,
37,0,CPRD_UNIT,10*9/L,9444,UCUM,1970-01-01,2099-12-31,
38,0,CPRD_UNIT,10*9/mL,9445,UCUM,1970-01-01,2099-12-31,
