sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,term,conceptId,conceptName,conceptClass,vocabulary,conceptCode,validStartDate,validEndDate,invalidReason,domains,additionalInformation
0,Data Not Entered,0,,0.35444310307502747,UNCHECKED,,0,,,,,,,,,This is an empty concept
1,<,0,,0.0,UNCHECKED,<,4171756,<,Qualifier Value,SNOMED,276139006,19700101,20991231,,Meas Value Operator,
2,<=,0,,1.0,UNCHECKED,<=,4171754,<=,Qualifier Value,SNOMED,276137008,19700101,20991231,,Meas Value Operator,
3,=,0,,0.0,UNCHECKED,Equal symbol =,4172703,=,Qualifier Value,SNOMED,276136004,19700101,20991231,,Meas Value Operator,
4,>,0,,0.0,UNCHECKED,>,4172704,>,Qualifier Value,SNOMED,276140008,19700101,20991231,,Meas Value Operator,
5,>=,0,,1.0,UNCHECKED,>=,4171755,>=,Qualifier Value,SNOMED,276138003,19700101,20991231,,Meas Value Operator,
6,~,0,,0.0,UNCHECKED,,0,,,,,,,,,This is an empty concept
7,Very High,0,,1.0,UNCHECKED,Very high,4123513,Very high,Qualifier Value,SNOMED,260360000,19700101,20991231,,Meas Value,
8,High,0,,1.0,UNCHECKED,High,4328749,High,Qualifier Value,SNOMED,75540009,19700101,20991231,,Meas Value,
9,Normal,0,,1.0,UNCHECKED,Normal,45884153,Normal,Answer,LOINC,LA6626-1,19700101,20991231,,Meas Value,
10,Low,0,,1.0,UNCHECKED,Low,4267416,Low,Qualifier Value,SNOMED,62482003,19700101,20991231,,Meas Value,
11,Very Low,0,,1.0,UNCHECKED,Very low,4125550,Very low,Qualifier Value,SNOMED,260362008,19700101,20991231,,Meas Value,
12,Abnormal,0,,1.0,UNCHECKED,Abnormal,45878745,Abnormal,Answer,LOINC,LA12748-2,19700101,20991231,,Meas Value,
13,Potential Abnormal,0,,0.8379995226860046,UNCHECKED,Potentially abnormal,4214712,Potentially abnormal,Qualifier Value,SNOMED,394845008,19700101,20991231,,Meas Value,
