sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,conceptId,comment
0,No Data Entered,31416,,0.224851593375206,UNCHECKED,0,
1,%,7133,,0.0,APPROVED,8554,
2,(bdsk u),0,,0.06696420162916183,UNCHECKED,8509,
3,(bsa),0,,0.044233016669750214,UNCHECKED,9390,
4,(cfU),0,,0.03689197823405266,UNCHECKED,9311,
5,(knk u),0,,0.09989209473133087,UNCHECKED,9398,
6,(mclg u),0,,0.09041544049978256,UNCHECKED,9302,
7,OD,0,,0.1396721601486206,UNCHECKED,9408,
8,(pa),4,,0.04858708754181862,UNCHECKED,0,
9,pH,66,,1.0,APPROVED,8482,
10,(ppb),0,,0.05203136429190636,UNCHECKED,45891000,
11,(ppm),1,,0.056191712617874146,APPROVED,9387,
12,(pu),11,,0.0,UNCHECKED,0,
13,(td u),0,,0.10227106511592865,UNCHECKED,9415,
14,/(hpf),0,,0.0,UNCHECKED,0,
15,/day,2,,0.5232996940612793,APPROVED,44777556,
16,/hour,12,,0.5035382509231567,APPROVED,44777557,
17,/L,565,,0.0,APPROVED,9254,
18,/m3,0,,0.0,APPROVED,44777558,
19,/min,0,,0.11530715227127075,APPROVED,8541,
20,/minute,66,,0.6960996389389038,APPROVED,8541,
21,/mL,22,,0.0,APPROVED,9257,
22,/month,0,,0.6271595358848572,UNCHECKED,9580,
23,/second,7,,0.6377453207969666,APPROVED,44777659,
24,/week,0,,0.6555320620536804,UNCHECKED,8511,
25,/year,0,,0.4805058240890503,UNCHECKED,9448,
26,1,29,,0.0,UNCHECKED,0,
27,1(tot),14,,0.09411602467298508,UNCHECKED,0,
28,1/mL,13,,0.0,APPROVED,9257,
29,10*-2(%),9,,0.2620663344860077,UNCHECKED,0,
30,10*-3(%),0,,0.35828906297683716,UNCHECKED,44777527,
31,10*12/L,6018,,0.17045433819293976,APPROVED,8734,
32,10*3(rbc),0,,0.30133023858070374,UNCHECKED,44777519,
